0.00	0.00	0
0.00	0.00	7
0.00	0.00	13
0.00	0.00	19
0.00	0.00	25
0.00	0.00	31
0.00	0.00	36
0.00	0.00	43
0.00	0.00	58
0.00	0.00	72
0.00	0.00	86
0.00	0.00	102
0.00	0.00	117
0.00	0.00	132
0.00	0.00	148
0.00	0.00	163
0.00	0.00	180
0.00	0.00	195
0.00	0.00	210
0.00	0.00	226
0.00	0.00	242
0.00	0.00	257
0.00	0.00	273
0.00	0.00	288
0.00	0.00	305
0.00	0.00	320
0.00	0.00	335
0.00	0.00	351
0.00	0.00	367
0.00	0.00	382
0.00	0.00	398
0.00	0.00	413
0.00	0.00	428
-2.00	-200.00	449
0.00	0.00	464
0.00	0.00	480
0.00	0.00	495
0.00	0.00	511
0.00	0.00	527
0.00	0.00	542
0.00	0.00	557
0.00	0.00	574
0.00	0.00	589
0.00	0.00	605
0.00	0.00	620
0.00	0.00	636
0.00	0.00	652
0.00	0.00	667
0.00	0.00	682
0.00	0.00	699
0.00	0.00	714
0.00	0.00	729
0.00	0.00	745
0.00	0.00	760
0.00	0.00	777
0.00	0.00	792
-1.00	-100.00	811
0.00	0.00	827
-1.00	-100.00	847
-1.00	-100.00	867
-1.00	-100.00	886
0.00	0.00	903
-1.00	-100.00	922
-1.00	-100.00	941
-1.00	-100.00	961
0.00	0.00	977
-1.00	-100.00	997
-1.00	-100.00	1016
-2.00	-200.00	1038
0.00	0.00	1054
-1.00	-100.00	1075
-1.00	-100.00	1095
0.00	0.00	1112
-1.00	-100.00	1133
-1.00	-100.00	1153
0.00	0.00	1171
0.00	0.00	1187
0.00	0.00	1204
0.00	0.00	1220
0.00	0.00	1237
0.00	0.00	1254
-1.00	-100.00	1274
-1.00	-100.00	1295
-2.00	-200.00	1316
-2.00	-200.00	1337
0.00	0.00	1353
-2.00	-200.00	1375
0.00	0.00	1391
-1.00	-100.00	1411
0.00	0.00	1428
-1.00	-100.00	1449
-1.00	-100.00	1470
-1.00	-100.00	1490
-2.00	-200.00	1512
0.00	0.00	1528
0.00	0.00	1545
-2.00	-200.00	1566
-1.00	-100.00	1587
0.00	0.00	1603
0.00	0.00	1619
0.00	0.00	1637
0.00	0.00	1653
0.00	0.00	1669
0.00	0.00	1686
0.00	0.00	1703
0.00	0.00	1720
0.00	0.00	1736
0.00	0.00	1752
0.00	0.00	1770
0.00	0.00	1786
0.00	0.00	1803
-1.00	-100.00	1823
-2.00	-200.00	1845
0.00	0.00	1861
-1.00	-100.00	1881
0.00	0.00	1899
-1.00	-100.00	1919
0.00	0.00	1936
0.00	0.00	1952
-1.00	-100.00	1974
-1.00	-100.00	1994
-1.00	-100.00	2015
0.00	0.00	2032
-1.00	-100.00	2052
-1.00	-100.00	2073
-1.00	-100.00	2093
-2.00	-200.00	2115
0.00	0.00	2131
-1.00	-100.00	2152
-2.00	-200.00	2173
0.00	0.00	2190
-1.00	-100.00	2210
0.00	0.00	2227
-2.00	-200.00	2248
0.00	0.00	2264
0.00	0.00	2281
0.00	0.00	2298
0.00	0.00	2315
0.00	0.00	2331
0.00	0.00	2347
-2.00	-200.00	2369
0.00	0.00	2385
0.00	0.00	2402
0.00	0.00	2418
0.00	0.00	2435
0.00	0.00	2452
0.00	0.00	2468
0.00	0.00	2485
0.00	0.00	2502
0.00	0.00	2518
0.00	0.00	2535
-1.00	-100.00	2555
-2.00	-200.00	2577
0.00	0.00	2593
-1.00	-100.00	2614
0.00	0.00	2631
-1.00	-100.00	2652
-1.00	-100.00	2672
-1.00	-100.00	2692
-2.00	-200.00	2714
-2.00	-200.00	2734
-2.00	-200.00	2755
-2.00	-200.00	2776
-2.00	-200.00	2797
0.00	0.00	2813
0.00	0.00	2831
0.00	0.00	2847
0.00	0.00	2863
0.00	0.00	2880
0.00	0.00	2897
-5.00	0.00	3529
0.00	0.00	3535
0.00	0.00	3541
0.00	0.00	3548
0.00	0.00	3554
0.00	0.00	3559
0.00	0.00	3572
0.00	0.00	3588
0.00	0.00	3605
0.00	0.00	3622
-1.00	-100.00	3643
-1.00	-100.00	3663
0.00	0.00	3681
0.00	0.00	3697
0.00	0.00	3713
0.00	0.00	3730
0.00	0.00	3747
0.00	0.00	3764
0.00	0.00	3780
0.00	0.00	3796
0.00	0.00	3814
0.00	0.00	3830
0.00	0.00	3847
0.00	0.00	3863
-2.00	-200.00	3884
-2.00	-200.00	3905
0.00	0.00	3921
0.00	0.00	3938
0.00	0.00	3955
0.00	0.00	3971
0.00	0.00	3988
0.00	0.00	4004
0.00	0.00	4022
1.00	100.00	4040
1.00	100.00	4058
1.00	100.00	4078
1.00	100.00	4096
0.00	0.00	4113
0.00	0.00	4129
0.00	0.00	4147
0.00	0.00	4163
0.00	0.00	4179
2.00	200.00	4198
0.00	0.00	4215
0.00	0.00	4232
0.00	0.00	4248
0.00	0.00	4264
0.00	0.00	4282
-1.00	-100.00	4302
-5.00	0.00	4320
-5.00	0.00	4337
-5.00	0.00	4355
-5.00	0.00	4373
-5.00	0.00	4390
-5.00	0.00	4408
-5.00	0.00	4426
-5.00	0.00	4444
-5.00	0.00	4461
-5.00	0.00	4479
-5.00	0.00	4497
-5.00	0.00	4514
-5.00	0.00	4532
-5.00	0.00	4550
-5.00	0.00	4567
-5.00	0.00	4585
-5.00	0.00	4602
-5.00	0.00	4621
-5.00	0.00	4638
-5.00	0.00	4655
-5.00	0.00	4673
-5.00	0.00	4691
-5.00	0.00	4709
-5.00	0.00	4726
-5.00	0.00	4745
